Date,Title,Sentiment
2009-01-11,"rebel force in congo shows signs of division iraqi lawmakers delay naming a new speaker 46 die in taliban attack on pakistani troops 200 people missing as ferry sinks in indonesia as troops enter gaza city, israel sees an opening economic crisis to delay other obama goals a bid to make play, at least, less violent in mexico a crossroad for russia and america plans to study abroad fall with korean currency more than 200 missing after indonesian ferry sinks",negative
2009-01-12,"israelis united on gaza war as censure rises abroad video slur puts prince harry back in headlines officials still arguing over leader for somalia conflict in gaza, day 17 bombings in iraq as biden arrives the contours of the f60 ferrari 250 feared dead in indonesia ferry disaster u.s. and china mark 30 years of diplomatic ties zuma faces new charges after ruling russia ready to resume gas shipments to europe",negative
2009-01-13,"afghan girls, scarred by acid, defy terror, embracing school changes in iraq election law weaken quota for women georgia’s energy minister is assailed for deal with russia parents reject china milk settlement ethiopians withdraw from key bases the ballot: inside iraq’s voting booth hamas fighters display mix of swagger and fear in israel, gaza war is seen as just japan’s governing party is plunging in polls gas dispute runs deeper than pipes, experts say",negative
2009-01-14,"art hoax unites europe in displeasure latvia is shaken by riots over its weak economy internet usage rises in china gas crisis in europe continues egypt cites progress toward truce as gaza toll exceeds 1,000 inspired by obama's message? pull out your wallet detainee was tortured, a bush official confirms pilot's 3-day run from ruin comes to an end evidence is valid despite police error, u.s. justices rule defiant hamas fighters say military wing is adapting",negative
2009-01-15,"a rare deep freeze warms the dutch soul hearing goes smoothly for obama’s u.n. choice family and lawyer fear for reporter who threw his shoes at bush release of russian who killed chechen woman stokes tensions conflict in gaza: day 20 would-be olympic protester sentenced to 3 years in prison third runway approved for heathrow, angering critics pakistan says 124 arrested in mumbai investigation senior afghan general dies in helicopter crash russia-ukraine gas dispute enters 10th day",negative
2009-01-16,"thailand accused of returning migrants to sea, where many are missing german warning for russia: maintain europe’s gas flow u.s. pact seen as step toward gaza cease-fire of wings, sponsors, new cars and ron dennis israeli cabinet appears ready to declare a gaza cease-fire milk scandal in china yields cash for parents u.s. freezes assets of 2 burmese businessmen who backed military junta study looks at mortality in post-soviet era israel lets reporters see devastated gaza site and image of a confident military all 155 escape jet's plunge in new york",negative
2009-01-17,thailand is accused of rejecting migrants casting light on plight of burmese dissidents iraqi local council rejects premier’s police appointee iran imprisons 4 it had accused of rebellion gazan doctor and peace advocate loses 3 daughters to israeli fire and asks why israel declares cease-fire; hamas says it will fight on north korea says it has ‘weaponized’ plutonium suicide blast kills 5 in afghanistan questions over israel's military conduct north korea says it has 'weaponized' its plutonium,negative
2009-01-18,"conservatives gain in vote in germany gaza cease-fire begins in zimbabwe, deal likely to fly or fail this week russia and ukraine reach deal on gas gazan doctor loses family rebuilding begins upon a wobbly truce tensions rise on korean peninsula lincoln memorial concert kicks off festivities state election gives merkel party a boost investigators offer details of flight's few minutes",negative
2009-01-19,"shiite cleric urges iraqis to vote jan. 31 russia and ukraine sign agreement on gas iran says it jailed 2 prominent doctors three attacks hit eastern afghan town s. korean president reshuffles cabinet leading russian rights lawyer is shot to death in moscow, along with journalist china aims at dalai lama with new tibet holiday in zimbabwe, deal likely to fly or fail this week israel speeds withdrawal from gaza novelist given 3 years for insulting thai king",negative
2009-01-20,"israelis feel little sense of triumph u.s. secures new supply routes to afghanistan thousands in chechnya protest after lawyer is killed few israelis near gaza feel war achieved much australia reports rescue at sea of two men adrift in an icebox abroad, many hope for ‘new chapter’ israeli arabs angered by attacks on gaza israel slows withdrawal from gaza families file suit in chinese tainted milk scandal china sees separatist threats",negative
2009-01-21,"the world reacts $630 million donated toward polio eradication efforts at arab gathering on development, the talk is all about gaza a top sunni survives an attack in iraq china announces subsidies for health care iran leader’s cold stirs questions on health chinese tv censors part of address by obama future f1 winners hope crosses the atlantic israel completes gaza withdrawal",negative
2009-01-22,"no snickering: that road sign means something else truth about a prayer: a saint’s name, but not his words departing u.s. ambassador warns against quick withdrawal from iraq iran hangs 22 in executions this week pakistan seizes terror suspect death sentences in chinese milk case jean jadot, papal envoy, dies at 99 obama expected to announce appointment of george mitchell as mideast envoy death sentences in china milk case obama to pick george mitchell as his mideast envoy",negative
2009-01-23,"strikes in pakistan underscore obama’s options europe to ask wealthy nations to adopt carbon trading system s.u.v.’s and rifles russia and georgia faulted in war knife attack kills 3 at belgian day care center 2 adults slain outside norwegian school spain: fake dalís seized, with some real ones south africa: another meeting set on zimbabwe crisis bolivia: u.s. diplomat walks out on leader’s speech in new sign of recovery, kim meets china official",negative
2009-01-24,"mexican man admits using acid on bodies, army says in pakistan, radio amplifies terror of taliban amid the destruction, a return to life in gaza with leader captured, congo rebel force is dissolving college-educated chinese feel job pinch pope reinstates four excommunicated bishops soldiers kill iraqi couple during raid at a home china rejects currency manipulation charge 12 die in storms in western europe suicide attacker kills 15 in somalia",negative
2009-01-25,"congo presses for extradition of warlord sri lanka captures rebel stronghold sri lankan troops press rebels in final stronghold obama must address afghanistan crisis quickly republicans are resistant to obama's stimulus plan obama's partisan, profane confidant reins it in no answers from accused assailant in belgium karzai protests civilian deaths radio spreads taliban's terror in pakistani region france and spain turn to cleanup after deadly storms",negative
2009-01-26,"from a portuguese marsh, salt, the traditional way iceland’s government collapses year of the ox crash in iraq kills 4 u.s. soldiers international court begins first trial u.s. follows iraqi customs to avoid new enemies year of the ox is looking inauspicious europe takes terrorist label off iranian resistance group reported zimbabwe deal is disputed islamists overrun somalia city as ethiopians leave",negative
2009-01-27,"u.n. staff and hospital come under shelling as sri lanka fights cornered rebels sturm und drang about pint-size neighbors site of somali government is put under islamic law for iraqi journalists, free press vs. free land iraqi officials concerned that absence of shiite pilgrims could affect elections maliki wins over many in southern province on arab tv network, obama urges dialogue two killed in violence on gaza border closing jail in bagram is a puzzle for obama can't get to the temple? taoists in hong kong are making virtual visits",negative
2009-01-28,"pope, expressing solidarity with jews, reacts to uproar over a holocaust denier iraqi women vie for votes and taste of power russian treason bill to be revised early voting in iraq is mostly smooth russian report says moscow will halt missile deployment after obama overture, iran’s leader seeks u.s. apology u.s. envoy urges 2 sides to fortify gaza truce japan says it will send anti-piracy force to somalia’s coast norwegian snags the bocuse d'or, edging out swede two killed in violence on gaza border",negative
2009-01-29,three candidates are killed in iraq leaders of turkey and israel clash at davos panel riches at le mans iraqi elections face crucial test in violent mosul georgian leader faces calls to quit iraqi women vie for votes and power hundreds of thousands protest in france afghan presidential election delayed israeli elections and gaza violence complicate new u.s. envoy’s peace mission u.s. looks for blackwater replacement in iraq,negative
2009-01-30,"a chaotic kenya vote and a secret u.s. exit poll israeli advocacy group begins campaign to help palestinians sue over settlements medvedev meets editor of newspaper where slain journalists worked a calmer iraq takes another try at the ballot sadr is silent, but backers work behind scenes khalid shakar al-dulaimi haithem ahmed alam khalaf zeinab sadiq jaafar in russia, growing fears of unrest russia and cuba take steps to revive a bond",negative
2009-01-31,"synagogue in venezuela vandalized in break-in russian building fire kills 23 elderly residents efforts to limit khmer rouge trials decried an afghan secret revealed brings end of an era slain exile detailed cruelty of the ruler of chechnya kirkuk: the province that couldn’t vote pointing to a new era, u.s. pulls back as iraqis vote mayor declares a coup in madagascar as economy sinks, russians protest somalis cheer the selection of a moderate islamist cleric as president",negative
2009-02-01,"secular parties and premier lead in iraq election turnout: analysis in wake of infernos, kenyans describe a muddled response election reaction: basra election turnout: early figures election reaction: iraqi journalists’ experiences election reaction: u.s. embassy and u.s. military 15 die in blaze at a restaurant in eastern china historians debate watergate tapes unease over succession, as the dalai lama ages in exile",negative
2009-02-02,"qaddafi, as new african union head, will seek single state self-proclaimed president learns a quick lesson disparate iraqis vote for stability and security somalia blast and aftermath leaves at least 20 dead italy's glass art under threat maliki poised to sweep iraqi election in bolivia, untapped bounty meets nationalism new gaza exchanges strain fragile truce election: analysis from the street heavy snow brings london to a halt",negative
2009-02-03,kyrgyzstan says it will close u.s. base madagascar political feud continues economic decline lifts the prospects of a vocal populist wounded flee shelling of a hospital in sri lanka iraq arrests woman tied to bombings election: analysis on the bus police clash with greek farmers for second day bridge attack halts nato supplies to afghanistan iran launches satellite in a challenge for obama rocket from gaza strikes israeli city,negative
2009-02-04,on the trail of ‘dr. death’ nazi doctor's egyptian escape election humor: vote fraud allegations uncovering lost path of the most wanted nazi vatican move on bishop exposes fissures of church germany: pope is asked for holocaust clarification mayor who tried to supplant madagascar’s president is fired u.s. searches for alternative to central asian base wounded flee shelling of a hospital in sri lanka gregg is nominated for commerce post,negative
2009-02-05,"russia offers kind words, but its fist is clenched u.n.’s gaza refugee director criticizes israel and hamas swarm of caterpillars infests west africa, menacing crops election: preliminary results prime minister’s party wins in iraqi vote but will need to form coalitions sri lanka rejects call for truce, saying defeat of rebels is near britain defends court ruling in secrecy case israeli navy diverts ship bound for gaza a talk with max somali pirates get ransom and leave arms freighter",negative
2009-02-06,"falluja’s strange visitor: a western tourist u.s. can ship afghan aid through russia, kremlin says pakistan frees nuclear smuggler u.s. aided a failed plan to rout ugandan rebels gpda sets the record straight election results: who’s up, who’s down indecision reigns as israelis get ready to vote pakistan frees nuclear dealer in snub to u.s. treason charge for zimbabwe opposition leader is dropped israel deports activists from intercepted vessel",negative
2009-02-07,"leader of afghanistan finds himself hero no more my italian job deal is reached on congo rebel more than 20 killed in madagascar protest abbas seeks greater gaza role for his palestinian authority taliban say they killed polish contractor in pakistan war’s lingering scars slow bosnia’s economic growth in japan, new jobless may lack safety net have car, need briefs? in russia, barter is back lobbing barbs at politicians",negative
2009-02-08,"bishop who denied holocaust is said to lose seminary post ex-leader of iran announces candidacy iraqis say u.s. patrol killed girl, 8, in crowd two taliban are killed in revenge by afghans holbrooke says afghan war ‘tougher than iraq’ trial date set for iraqi ‘shoe-thrower’ death toll in australian fires climbs to 131 police in madagascar kill more than 20 obama urges u.s. lawmakers to pass bill tensions flare as russian soldier seeks asylum in georgia",negative
2009-02-09,"van spirits away protester in egypt, signaling crackdown on criticism over gaza northern iraq suicide blast kills 4 american soldiers death ends coma case that set off furor in italy palestinians stop paying israeli hospitals for gaza and west bank patients bishop who denied holocaust ousted fire ravages renowned building in beijing basques suspected in madrid car bomb coat? hat? kalashnikov? scores die in australian fires suicide bomber kills 28 in sri lanka",negative
2009-02-10,"palestinians press for war crimes inquiry on gaza goodbye pasha with swipe at u.s., iraq builds ties to french left faces tough test in israeli poll china tv network apologizes for fire ramadi with a swagger iran offers ‘dialogue with respect’ with u.s. sarkozy makes unannounced visit to baghdad australia fire toll could exceed 200 fireworks spark beijing blaze",negative
2009-02-11,"ancient city’s nazi past seeps out after stabbing suicide bombers strike afghan offices judges approve warrant for sudan’s president guantánamo detainee’s campaign reaches to obama british regulator quits as accusations mount in banking crisis afghan arms are at risk, report says security talks about iraq not needed, iran signals freed egyptian protester describes ordeal, but fate of seized blogger is unknown china says 21 more people will go to prison in tibet protests nato chief presses afghan drug fight",negative
2009-02-12,"venezuela’s jews, already uneasy, are jolted by attack near sri lanka’s war zone, wounded civilians struggle to cope hijacked arms ship limps into port pope calls any denial of holocaust ‘intolerable’ china to investigate french company over claims of tainted formula 7 die as police and militants clash in southern russia china detains building chief in tv complex blaze pakistan backtracks on link to mumbai attacks obama’s special envoy arrives in afghanistan australia wildfire suspects are freed",negative
2009-02-13,"clinton seeks a shift on china hamas sees cease-fire within days; israel demurs zimbabwe opposition party official arrested australia says children died in skirmish with taliban personal message and proposed solution to the gpda suicide bomber kills 35 in an attack on shiite pilgrims in iraq out. now what? india presses pakistan to do more on terror even after u.s. stimulus deal, tinkering goes on 50 killed after plane crashes into house near buffalo",negative
2009-02-14,"inquiry on graft in iraq focuses on u.s. officers u.s. and belarus in dispute over inmate saudi king dismisses 2 officials in a shuffle in romania, children left behind suffer the strains of migration  a new role for iraqi militants palestinian campus looks to east bank (of hudson) softer policy on drugs is debated in argentina ecstasy ensnares upper-class teenagers in brazil aide’s arrest in zimbabwe draws fire of premier somalia: son of former leader to be premier",negative
2009-02-15,"winslet and cruise star in a german studio’s latest act at reading in beijing, noted writer is stabbed reopening of museum in baghdad is uncertain party rally is buoyed by presence of mandela olmert confirms papal visit to israel chávez decisively wins bid to end term limits venezuela votes on referendum venezuelans voting on lifting term limits aide’s arrest in zimbabwe draws fire of premier white house says stimulus won't be a quick fix",negative
2009-02-17,"the wounded of afghanistan 8 go on trial in london in plot to bomb flights to u.s. and canada italy finds lawyer guilty of taking a bribe in exchange for protecting the premier sri lankan war nears end, but peace remains distant sudan and darfur rebel group agree to peace talks at trial, a plea for rights of a khmer prison official gunfire rattles capital of equatorial guinea a photographer’s tale afghan civilian deaths rose 40 percent in 2008 clinton offers words of reassurance while in japan",negative
2009-02-18,"italian opposition leader says he failed american lawmakers visit gaza lebanese in shock over arrest of an accused spy pakistani reporter is killed after celebration of truce terrorism trial for figure in zimbabwe opposition a new form of silly season in closely watched case, britain’s highest court favors deporting militant cleric coming to america afghan civilian deaths rose 40 percent in 2008 british court rules muslim cleric can be deported",negative
2009-02-19,"japan’s ruling party faces political extinction 16 held in coup effort in equatorial guinea in step with his time: muntader’s legacy despite kyrgyz vote to close u.s. base, gates explores options to keep it open at trial, iraqi calls shoe-throwing payback squirming, but watching a dying reality star muntader’s moment senior communist party official issues warning to tibetan clergy obama makes overtures to canada’s leader russia reopens case of murdered journalist",negative
2009-02-20,"latvia’s government falls on economic toll russia reopens case of murdered journalist u.s. in pact to release british detainee rebels raid sri lankan capital chinese officials protest sinking of cargo ship by russians clinton reshapes diplomacy by tossing the script netanyahu to form new israel government despite kyrgyz vote to close u.s. base, gates explores options to keep it open pakistan bombing kills more than 30 2 rebel planes shot down over capital of sri lanka",negative
2009-02-21,"after 5 months, china to try would-be protester abu ghraib greek terrorists claim an attack belgium sues to compel prosecution of a chadian pristine african park faces development fresh paint and flowers at iraqi house of horrors u.s. concedes afghan attack mainly killed civilians clinton paints china policy with a green hue kenya: support for mercury pact madagascar: ministries recaptured",negative
2009-02-22,"e.u. leaders turn to i.m.f. amid financial crisis detainee who claims abuse to return to britain class dismissed in swat valley at least 74 miners are killed in china blast an interview with ma ying-jeou clinton urges china to fight climate change obama has plan to slash deficit, despite stimulus bill obama rethinks the goal of democracy-building fresh paint and flowers at iraqi house of horrors taliban truce seems in flux in pakistan",negative
2009-02-23,iraq museum reopens six years after looting commandos in the tribal areas netanyahu rebuffed again in efforts to form coalition iraq accuses 12 policemen in a string of killings chinese mine disaster ends with 74 dead spain’s justice minister resigns five detained after cairo bomb blast freed detainee arrives in britain india celebrates a hollywood victory n. korea statement raises worry of a missile test,negative
2009-02-24,worst drought in half century shrivels the wheat belt of china musical show of unity upsets many in israel g.i.’s attacked by iraqis in uniforms terror convictions overturned in france somalia fighting kills at least 15 kurd’s speech defies turkish taboo jailed russian tycoon on trial again taliban accepts pakistan cease-fire worry of a north korean missile test we are all republicans now,negative
2009-02-25,"pakistani court bars nawaz sharif tibetans greet new year in opposition zimbabwe’s rival leaders deploy their chess pieces, with political power the prize afghanistan and iraq – what if? a day of mourning in tibet former estonian official convicted of treason pakistani charged in mumbai assault 3 in beijing set their car on fire in apparent protest plane crashes near amsterdam 9 killed as a turkish airlines plane crashes in amsterdam",negative
2009-02-26,5 top serbs found guilty of war crimes in kosovo u.s. helps palestinians build force for security bishop offers apology for holocaust remarks pro-sharif demonstrations spread across punjab palestinian rivals announce steps toward healing rift china says u.s. distorts facts in report on rights china fails to halt sale of looted relics at paris auction guard mutiny in bangladesh ends india: charges filed in mumbai attacks,negative
2009-02-28,"tribunal set to begin in lebanese killing starvation and strife menace torn kenya with force, mexican drug cartels get their way afghan president moves up august elections u.s. and china revive military talks liberal groups are flexing new muscle in lobby wars afghan president moves up elections u.s. may not attend racism talks canada: russian bomber chased rwanda: priest guilty in genocide",negative
2009-03-01,"growing economic crisis threatens the idea of one europe testing puzzles olmert likely to face charges in corruption case 7 arrested after irish bank heist clinton makes first foray into mideast peacemaking tribunal begins in killing of lebanon's prime minister armenians call for early elections the economic cost of war legal battles await olmert as term ends democrats widen gap in party affiliation, polls find",negative
2009-03-02,"afghan women slowly gaining protection in turbulent time for britain’s premier, a hope to bolster u.s. ties zimbabwe activist released, in victory for opposition putin’s party wins regional elections analysis: provincial elections outcome iranian-american reporter accused iraqi court acquits hussein aide in 1999 crackdown on shiite protest indian elections scheduled for april and may soldiers kill guinea-bissau’s president after death of army chief, diplomats say vote could oust basque nationalists",negative
2009-03-03,a home on the internet shelters beijing’s homeless party elders press for checks on china’s stimulus plan dark humor: heading for afghanistan new trial of ex-tycoon begins in russia clinton says u.s. is ready to begin talks with syria jailed zuma ally paroled on medical grounds attack on cricket team in pakistan britain’s prime minister hopes to bolster u.s. ties communist party elders criticize china's stimulus plan international: emerging markets face growing risk,negative
2009-03-04,east asia’s small edens of trade wilt as need for exports dries up raid on energy company in ukraine sect and race brown urges bold effort to shape an expansion report cites faulty gauge in fatal crash of turkish jet china outlines ambitious plan for stimulus a new f1 blog court issues arrest warrant for sudan’s leader afghan panel rejects karzai decree for early elections scandal threatens opposition in japan,negative
2009-03-05,"britain to resume talking with hezbollah q. and a.: obama’s housing rescue plan and you spam. spam. spam. spam. official says suspects are arrested in cricket attack clinton wants to include iran in afghan talks blast in ingushetia kills 5 police officers band says beijing canceled concert over tibet civilian toll in sri lanka rises, aid workers say the fota proposals driver shot dead after rampage in jerusalem",negative
2009-03-06,"crash injures zimbabwe premier, a mugabe rival religious portraits: answer to comment u.s. and u.n. call for inquiry into activists’ killings in kenya lost in translation: a u.s. gift to russia u.n. panel deadlocks over taking any action on sudan germany’s leader in hot seat over g.m. aid request south korea protests the north’s warning on civil aviation brawn gp formula one team band says beijing canceled concert over tibet dead sea scrolls theorist's ardent defender - his son - is charged",negative
2009-03-07,"sarkozy embraces nato, and bigger role for france iraqi surveys start to unveil the mental scars of war, especially among women saudis race all night, fueled by boredom disrepair in south ossetia dims hopes after georgia war in mideast, clinton turns up the caution afghan leader deflects talk of future premier quits to help unify palestinians vijay whips up a storm – off track.  just another poker move? zimbabwe’s opposition plans to investigate crash guiding women with a gandhian approach",negative
2009-03-08,"medical care in romania comes at an extra cost nearly a million genocide victims, covered in a cloak of amnesia pope benedict sets itinerary for holy land trip in may irish assault raises specter of brutal days chinese official defends construction of schools felled in quake sudan's president bashir expels ngos pakistan regains control of remote area, for now 2 soldiers shot dead in northern ireland u.s. and british forces in iraq are reduced in north korean poll, observers look down ballot",negative
2009-03-09,"the factory’s closed, but the workers keep showing up the battle over bajaur china’s leaders see a calendar full of trouble bali defies fatwa on yoga sudan releases opposition figure in iran, khatami loses a key backer army mutiny heightens madagascar crisis tsvangirai calls crash an accident u.s. general says allies ‘not winning’ afghan war china tightens security in tibet",negative
2009-03-10,"at spring break in mexico, revelry mixes with new caution waiting to helm south africa: president or convict? or both? 5 years after it halted weapons programs, libya sees the u.s. as ungrateful u.s. undecided about its vote for nato top job baghdad’s bodybuilder tibetans commemorate 50th anniversary of uprising policeman killed in northern ireland deadly suicide blast in sri lanka bomber kills dozens in iraq as fears of new violence rise dalai lama says china has turned tibet into a ‘hell on earth’",negative
2009-03-11,"court in zimbabwe orders release of opposition figure president of poland is sanguine on economy france will take full nato membership again, with greater military role an israeli playground, fortified against rockets afghan court backs prison term for blasphemy in letter to bishops, pope admits ‘mistakes’ former north korean agent makes public appearance senior aide to hussein sentenced to 15 years hundreds jailed as pakistan bans planned protest teenage gunman kills 15 at school in germany",negative
2009-03-12,"emeralds of afghanistan gunmen kidnap 3 workers with aid group in darfur china protests a u.s. resolution on tibet in attacks in germany, gun access and torment iraqi shoe thrower gets three years zimbabwe opposition figure is freed on bail after delays american envoys try to defuse a political crisis in pakistan north korea warns of rocket launch soon north korea sets date for launching belarus president cancels eu meeting",negative
2009-03-13,"japan: piracy patrols planned war crimes trial in serbia palestinians cut off from jerusalem in argentina, a camera and a blog make a star critic of kyrgyzstan leader is believed dead in a suspicious car crash american injured in clash at israeli barrier u.n. rights official fears war crimes in sri lanka contact made with aid workers kidnapped in darfur brains or brawn for brawn? china’s leader says he is ‘worried’ over u.s. treasuries",negative
2009-03-14,"japan’s political dynasties come under fire but prove resilient in hard-bitten baghdad, tough tactics on strays bats threaten their australian paradise chilean town withers in free market for water russia is weighing 2 latin bases, general says iraqi president sets off talk on role of iraqi kurds madagascar reaches showdown for control pakistan opposition leader is held before protest japan sends naval vessels to aid anti-piracy effort on living with less, from 3 points of view",negative
2009-03-15,4 u.s. soldiers killed in afghanistan europe’s hedging on inmates clouds guantánamo plans pakistan leader backs down and reinstates top judge,negative
2009-03-16,"fears, unrealized iraqi goalie killed in victory shooting u.s. says it shot down an iranian drone over iraq 4 aid workers abducted in somalia forming coalition, netanyahu agrees to make nationalist leader foreign minister pakistanis rejoice over restoration of justice pakistan avoids pitfall, but path ahead is unclear new season, new address for this f1 blog reform candidate withdraws in iran missile strike kills 4 in pakistan",negative
2009-03-17,"at russia’s olympic site, games begin olmert rejects hamas demands for soldier meet the new boss… cocaine trade helps rebels reignite war in peru a hunt for rebels in the jungles of peru pakistani woman who shattered stigma of rape is married medvedev to bolster military in russia soldiers in philippines clash with abductors police station bombed in tibetan area of china reform candidate withdraws in iran",negative
2009-03-18,"croatia courts old enemy and its tourism spending guilty pleas in a trial on captivity untried soldier carries the weight of guinea’s desperate hopes russia to ban hunting of baby seals after gaza, israel grapples with crisis of isolation in rape case, filipino accuser backtracks madagascar’s president quits after weeks of chaos a baghdad reading list f1 season off to a controversial start un warns eu to keep promise on climate aid",negative
2009-03-19,a leader beyond reproach limits the possibilities for political change fragile signs of hope emerging in the gloom of mugabe’s rule leaving iraq: an iraqi christian afghan legislator killed in bomb attack artist defies web censors in a rebuke of china soldiers’ accounts of gaza killings raise furor in israel israel arrests 10 hamas leaders life sentence in austria incest case workers protest across france pakistan accused of link to kabul attacks,negative
2009-03-20,obama reaches out to iran 2 navy vessels collide in strait of hormuz leaving iraq ii – learning english further accounts of gaza killings released lewis hamilton criticizes new rules – fia backs down north korea reopens military hot line obama’s message to iran is opening bid in diplomatic drive spain: troops to leave kosovo mexico: son of cartel leader detained aids agency takes issue with the pope,negative
2009-03-21,"china fires 8 top regulators over milk scandal study backs bosnian serb’s claim of immunity hungary’s premier offers to resign its population falling, russia beckons its children home n. korea says it is holding reporters mexico: trafficker held in attacks a border dispute in balkans imperils europe’s expansion e.u. comes together on emergency funding",negative
2009-03-22,"slovenia border spat imperils croatia’s nato bid new status in africa empowers an ever-eccentric qaddafi aid groups’ expulsion, fears of more misery u.s. kills 5 afghans in raid on house jade goody, british reality television star, dies at 27 tibet protesters are held in china after riot in india, cricket loses to politics on security fighting terrorism in saudi arabia chávez trims budget to offset low oil revenues saudis retool to root out terrorist risk",negative
2009-03-23,"georgian opposition members held on arms charges netanyahu’s party tries to enlist labor sunni fighters say iraq didn’t keep job promises south africa bars dalai lama from a peace conference u.s. backs dane for nato post amid turkey’s objections plea bargain was weighed for guantánamo detainee on the spot: counterterrorism, afghan-style palestinian official killed in lebanon sudan’s president makes trip abroad nato says top taliban leader slain",negative
2009-03-24,"a political comeback for nawaz sharif haitians fear next big storm leaving iraq iii – a childhood under saddam zimbabwe’s inflation drops, a little n. korea warns over stalled talks u.n. official calls darfur aid tenuous peace conference in south africa is canceled israel’s labor party votes to join netanyahu coalition report says executions doubled in 2008 france to pay nuclear test victims",negative
2009-03-26,"with isolation over, syria is happy to talk students give up wheels for their own two feet clinton reassures mexico about its image pakistan and afghan taliban close ranks coming to america – expectations japanese court rejects teachers’ suit over flag obama telephones afghan president u.s. officials say israel struck in sudan senior u.s. diplomat visits myanmar sudanese president reportedly visits libya",negative
2009-03-27,"sectarian tension takes volatile form in bahrain baghdad’s moving laser lights russian city finds race for mayor ever odder a leg in a shopping basket. exploding peugeots. another day in baghdad. britons, held for 2 years, may be freed in exchange israel disputes soldiers’ accounts of gaza abuses deluge in jakarta prepared remarks of president barack obama: a new strategy for afghanistan and pakistan bomber strikes in pakistani mosque, killing dozens during prayers atomic agency fails to elect new head",negative
